name_en,name_fr,uri,slug
radio waves,ondes radioélectriques,,
alimentation pollution,polluants de l'alimentation,,
noise,bruit,,
sociodemographical indicators,indicateurs socio-démographiques,,
air pollution,polluants de l’air,,
drinking water pollution,polluants de l'eau de boisson,,
metals,métaux,,
indoor air pollution,polluants de l'air intérieur,,
meteorological factors,facteurs météorologiques,,
waste,déchets,,
pesticides,pesticides,,
biocides,biocides,,
water pollution,polluants de l'eau,,
soils pollution,polluants des sols,,
nvdi,ndvi,,
asbestos,amiante,,
radioactivity,radioactivité,,
air,air,,
professional exposure,exposition professionnelles,,
plant protection products and substances,produits et substances phytopharmaceutiques,,
radiation,radiation,,
organic compounds,composés organiques,,
