name_fr,name_en,uri,slug
Accidentologie,Accidentology,,
Adresses,Addresses,,
Amiante naturel en affleurements dans les formations géologiques,Natural asbestos in tributaries in geological formations,,
Anciens sites miniers français d'uranium,Former French uranium mining sites,,
Aérobiologie  Qualité de l'air : pollens et moisissures,Aerobiology Air quality: pollen and mold,,
Biocides,Biocides,,
Bruit,Bruit,,
Carroyage,Carroyage,,
Carte des reliefs,Map of reliefs,,
Cartographie des masses d'eau sensibles à la pollution,Cartography of pollution-sensitive water masses,,
Cartographie des zones polluées par l'eau,Water-polluted area mapping,,
Cartographie du bruit associé aux trafics,Cartography of noise associated with traffics,,
Climatologie,Climate,,
Connaissance du paysage pédologique,Knowledge of the pedological landscape,,
Contaminants chimiques dans l'alimentation,Chemical Contaminants in Food,,
Contaminants de l'eau,Water Contaminants,,
Contours géométriques des IRIS,Geometric Contours of IRIS,,
Déchets radioactifs,Radioactive waste,,
Délimitations des parcelles viticoles,Delimitations of vineyards,,
Eauxs souterraines,Groundwater,,
Ecosystèmes forestiers,Forest ecosystems,,
"Emissions atmosphériques des secteurs de l'industrie, du transport,  tertiaire et agricole","Air emissions from industry, transport, tertiary and agricultural sectors",,
Emissions polluantes et Déchets,Pollutant emissions and wastes,,
Exposition aux métaux et activités professionnelles,Metal exposure and professional activities,,
Exposition des population au bruit,Population exposure to noise,,
Exposure of individuals and populations in Europe to UV radiation,Exposure of individuals and populations in Europe to UV radiation,,
Fond cartographique,Cartographic background,,
"Gestion des déchets,  Développement durable","Waste management, Sustainable development",,
Géologie,Geology,,
Index des substances phytosanitaires,Plant Health Substances Index,,
Indicateurs d'exposition spatialisés agrégés et combinés,Aggregate and combined spatial exposure indicators,,
Inventaire des dépôts de résidus miniers,Inventory of mine residues,,
Inventaire et cartographie des sols,Soil inventory and mapping,,
Limites administratives,Administrative limitations,,
Locaux à usage d'habitation,Residential premises,,
Mesures de bruit,Noise measures,,
Milieux agricoles,Agricultural conditions,,
Météorologie,Weather,,
Niveaux d'exposition aux musiques amplifiées du jeune publique,Levels of exposure to amplified young public music,,
Occupation des sols,Land occupation,,
Paramètres descriptifs de la population française,Descriptive parameters of the French population,,
Parcelles vitivinicoles,Wine parks,,
Pesticides dans l'air,Pesticides in the air,,
Pollution / Contamination des sols,Pollution / Soil contamination,,
Pollution atmosphérique ambiante,Ambient air pollution,,
Pollution des eaux souterraines,Groundwater pollution,,
Propriétés physico-chimiques des sols et occupation des terres,Physical-chemical properties of soils and land use,,
Prévision atmosphérique,Air forecast,,
Prévision de la chimie atmosphérique et transport,Air chemistry and transport forecast,,
Qualité agronomique des sols,Agricultural soil quality,,
Qualité de l’air : pollution atmosphérique,Air quality: air pollution,,
Qualité des eaux littorales,Quality of coastal waters,,
Qualité de l'air,Air quality,,
Qualité de l'air dans les établissements recevant du public,Air quality in institutions receiving public,,
Qualité de l'air et Bruit,Air quality and Bruit,,
Qualité de l'air et acoustique,Air quality and acoustic,,
Qualité de l'eau,Water quality,,
Qualité des eaux,Water quality,,
Qualité des eaux de surface / Connaissance milieux,Surface water quality / Knowledge media,,
Qualité des sols,Soil quality,,
Qualité des sols urbains,Urban soil quality,,
Radioactivité,Radioactivity,,
Radiofréquence,Radio frequency,,
Radon émis par les formations géologiques,Radon emitted by geological formations,,
Rayonnements ionisants,Ionizing radiation,,
Recensement des sites naturels/ biodiversité,Natural sites/ Biodiversity Census,,
Référentiel de masse d'eau,Water mass standard,,
Référentiel hydrographique français,French Hydrographic Standards,,
Référentiel hydrogéologique français,French Hydrogeological Standards,,
Réseaux de mesure de stations,Station measurement networks,,
Sites et sols pollués,Polluted sites and soils,,
Trafic routier,Road traffic,,
Ventes de produits phytopharmaceutiques,Sales of phytopharmaceutical products,,
